rotulos_de_linha;mar;abr;mai;jun;jul;ago
48007;3960,96;3951,59;3926,32;3974,47;3993,06;3995,99
48012;3648,0;3684,0;2785,0;4471,5;4810,0;3573,0
48020;10649,29;8600,7;7798,11;5634,71;9179,01;8481,85
48026;2931,93;2978,74;2983,4;2989,23;2995,83;2989,85
48035;28802,95;92686,99;194627,41;172904,74;154327,01;171169,32
48036;681268,92;770788,33;374151,12;501741,7;537987,38;494319,68
48038;4994,95;4996,65;4975,01;4999,07;4998,13;4996,0
48042;6999,22;6998,81;6999,57;6991,5;6999,02;6994,69
48043;5993,58;5991,58;5999,66;5996,68;5998,62;5998,37
48049;13615,84;15761,55;21394,56;17269,94;20696,83;21606,78
48054;5277,5;20298,76;12017,04;15015,27;13990,06;4908,63
48057;3999,99;4000,0;4000,0;3999,99;3999,93;3999,99
48059;61907,27;64198,93;67348,85;64544,05;53030,0;61175,86
48070;16381,59;11362,53;12673,14;12488,32;11960,21;13169,42
48072;9997,8;9997,9;9996,0;9998,4;9033,9;9995,3
48076;1007383,91;1000041,36;966501,56;1045438,53;1163419,45;1351855,84
48077;1424313,56;1386814,8;1125032,97;1228752,45;1481552,35;1210182,57
48078;4343,76;4397,13;4380,96;4214,99;4398,06;
48081;;;;;739,5;899,0
48085;149702,55;149628,89;149414,6;149893,37;149662,9;149983,33
48094;53659,27;70856,42;67262,19;65875,32;1593135,53;57456,17
48098;517042,86;434949,57;407476,5;606395,86;569652,93;452036,66
48100;12071,68;13981,66;12531,26;14290,38;14729,83;11602,85
48108;122552,22;97712,18;133988,15;138154,83;141782,96;148907,02
48109;7810,11;24553,12;14814,15;7084,84;3876,1;3611,33
48111;44928,87;44971,9;44938,99;44979,4;44961,79;44748,99
48113;24784,53;18896,51;26978,28;37491,27;56749,42;51890,4
48115;10187,64;10189,19;10195,03;10196,71;10196,41;10191,56
48118;318920,11;454777,34;331385,28;347296,93;320584,9;413051,52
48120;3994,01;3998,39;3999,47;3999,52;3998,97;3980,67
48121;2880,12;2843,73;2962,0;2800,49;2879,33;2948,42
48123;6599,47;6599,51;6598,95;6598,07;6593,35;6565,22
48124;14407,7;10834,88;14989,66;21174,53;13908,14;17778,48
48127;9997,94;9999,21;9934,88;9853,51;9994,06;9919,12
48134;972194,65;969642,88;796822,82;773624,41;776448,4;695311,07
48138;2967,03;2999,08;2956,13;2978,3;2990,27;2999,96
48139;2994,73;2999,95;2970,66;2949,29;2991,03;2965,38
48145;2685,33;2245,26;4531,85;3005,23;3942,16;3716,86
48149;12719,29;12705,57;12713,63;12652,29;12668,1;12714,45
48160;21732,26;17585,21;20090,4;18792,61;16097,18;18151,48
48163;17543,29;14908,3;18529,74;16607,78;20367,69;18179,48
48164;3993,27;3985,01;3997,07;3949,61;3993,02;3965,46
48165;1991,0;1471,5;1841,5;1027,0;1097,0;1578,0
48166;2029,1;1839,66;865,56;2038,58;2270,41;2397,23
48167;15969,7;14993,85;15992,71;14997,29;15425,94;16533,02
48168;8731,33;7798,93;9963,22;9982,09;9878,54;9986,81
48172;2893,79;2991,88;2998,95;2982,44;2999,9;2985,56
48176;9959,19;9978,21;9931,05;9991,64;9966,73;9949,4
48178;8948,09;8486,45;8245,06;7728,76;9940,24;9989,74
48184;1942340,79;1758772,23;1765382,53;1978536,14;2037649,15;2351630,34
48186;23444,27;23429,12;23450,06;23442,14;23426,23;23250,88
48187;11998,6;11961,7;11990,02;11936,98;11991,3;11993,01
48188;2837,06;3085,89;3234,88;3193,48;1862,08;
48189;4482,39;4488,45;4478,03;4479,33;4496,59;4497,13
48195;17982,91;17989,1;17999,45;17998,26;17997,62;17999,85
48200;89844,13;324851,16;514036,3;295436,25;140729,3;99544,69
48205;127555,59;229914,19;193662,15;262047,21;281456,75;182458,55
48208;2951,99;2396,88;2583,85;2878,87;2784,85;2662,12
48209;22145,09;23691,56;23941,19;19750,2;25078,43;29254,7
48226;453,37;473,23;586,92;219,45;936,94;210,78
48227;171541,66;157124,69;159405,02;193664,1;193076,71;139733,43
48230;14074,75;14983,92;13085,73;15046,53;15050,31;14961,64
48233;37096,39;31187,43;30628,22;35086,08;53749,89;50614,28
48239;22221,6;28368,35;21145,73;22718,37;24183,41;19887,75
48246;2997,4;2993,85;2992,1;2998,98;;
48249;6362,92;2636,7;3302,2;11983,74;10130,61;
48250;5977,85;5967,15;5949,17;5948,75;5965,94;5985,67
48258;48066,42;48830,63;49804,23;49842,57;48307,34;49301,4
48263;14999,65;14999,63;14999,07;14999,91;14999,98;14999,9
48268;27999,78;27987,42;27999,37;27999,27;27998,55;27999,28
48272;2116,5;2418,5;2998,0;2996,0;2993,5;2993,5
48275;8348,74;10131,01;8211,74;9898,17;9770,09;7785,98
48277;510,0;413,5;510,0;100,0;250,0;398,86
48279;2989,0;2394,5;2993,5;2751,5;2994,0;2996,0
48280;8986,14;8993,68;8991,66;8999,15;8998,33;8984,11
48283;4997,98;3486,15;4990,48;4835,93;4643,91;3907,99
48286;3407,67;4240,1;3593,05;2797,91;3398,81;3379,53
48295;12310,15;12382,36;12212,72;12386,29;12373,63;12390,5
48296;8944,83;7379,01;8892,81;8736,91;8750,86;8880,32
48307;2997,98;2990,39;2994,13;2999,96;2997,89;2998,06
48310;5984,29;5992,24;5960,76;5997,05;5986,33;5959,88
48311;19995,87;19997,53;19978,21;19827,4;19998,59;19970,74
48314;26180,65;28074,22;35977,17;24855,09;21181,02;34399,42
48321;456,39;581,91;37,71;392,82;572,84;933,51
48323;55673,75;29758,15;39902,65;49563,18;62769,13;45748,42
48330;30440,47;30478,02;30457,95;30305,74;30409,22;30457,48
48331;72807,99;193618,56;86180,52;89181,68;151025,43;108277,29
48336;4891,66;1918,88;4359,2;3206,08;5423,22;2581,28
48338;4995,08;4998,88;4987,95;4967,05;4996,59;4984,81
48341;7966,45;7983,17;7958,34;7977,63;7956,12;7993,59
48345;5818,88;5700,62;5998,05;5982,73;5979,49;5775,98
48355;7871,62;13458,85;7412,21;4694,8;6560,52;6383,41
48360;3987,31;3952,67;3981,21;3988,69;3992,52;3972,31
48361;3996,8;3991,12;3995,49;3995,05;3997,75;3998,7
48362;2987,64;2998,66;2959,44;2995,37;2990,49;2978,4
48363;1473,94;806,42;1092,09;2333,5;1879,69;1837,39
48367;10222,08;10333,08;13653,28;11435,28;11015,44;12343,92
48369;14664,95;14726,61;14682,47;14387,75;14389,4;6991,12
48370;5267,89;4688,02;6501,31;3997,78;5330,78;4374,4
48374;169971,05;168109,57;174911,01;182729,41;183009,84;179488,74
48382;8150,0;220,0;16300,0;8040,0;8150,0;55,0
48391;208120,14;216279,11;202748,24;208149,43;200062,48;195720,58
48398;712037,25;732645,17;814208,3;727646,59;746207,06;633864,24
48400;424801,53;292067,56;342233,95;395437,96;473364,38;339123,21
48408;8478,89;8832,76;9184,96;5977,62;8124,15;8759,06
48437;9971,76;6880,02;8515,09;6066,98;4196,35;6238,32
48438;36723,83;43065,52;12902,99;14263,4;28121,64;27986,47
48443;21818,48;9842,63;10567,57;13129,09;15447,31;10034,34
48498;2832,18;2832,18;2799,16;2799,16;2799,16;2799,16
48505;2973,37;2959,1;2955,24;2942,67;2920,07;2914,15
48510;8375,94;8394,17;8399,2;8395,26;8398,21;8396,82
48511;7982,03;7998,31;7998,32;7993,64;7993,8;7995,43
48513;2523,0;1914,0;2994,0;2977,0;2987,0;2997,8
48515;2995,76;2978,85;2989,64;2975,39;2990,75;2998,6
48519;221664,2;178041,87;185270,26;182849,78;177751,25;160405,18
48528;5497,26;5496,62;5499,12;5491,35;5496,56;5493,51
48535;7990,09;7985,43;7898,39;7996,14;7997,69;7935,35
48540;38546,52;43787,27;48290,45;37727,6;34635,03;41059,79
48546;17498,94;17462,99;17435,77;17498,23;17494,77;17448,39
48547;49912,56;85911,19;73101,4;139859,54;87451,35;88130,82
48549;21063,88;23584,26;20593,68;17619,54;22088,82;15211,88
48552;9870,97;9976,11;9028,22;8744,99;9975,46;9993,37
48553;5121,0;4097,5;5569,5;4869,5;4729,0;5586,9
48559;36258,78;41266,51;44259,6;36512,81;39250,7;29189,72
48561;10595,22;10578,44;10599,81;10587,28;10596,43;10586,91
48562;128835,04;129048,26;156789,65;84819,17;98286,09;74072,71
48573;59513,56;59945,85;59154,07;55424,5;64378,41;66804,6
48575;219697,06;325384,09;275322,32;205091,82;182767,62;193163,21
48577;9929,1;9939,35;9405,25;9894,83;9976,16;9979,75
48579;2751,41;3772,43;2733,82;2991,35;2863,55;3530,47
48580;2903,46;2773,42;2748,59;2723,03;2905,6;2879,72
48587;19997,1;19989,7;19980,2;18958,1;19987,7;17941,7
48590;5429,84;5845,27;5983,81;5976,39;5945,88;5991,61
48597;49999,03;49998,31;49985,42;49998,12;49995,02;49996,18
48600;20525,06;20538,77;20516,18;20530,96;20539,63;20539,41
48616;9785,4;6658,31;11137,95;4988,49;12422,72;8947,96
48627;29553,91;7430,78;18872,68;11054,72;19042,27;20382,43
48628;609445,16;638947,41;427150,35;885056,05;794814,77;639802,2
48636;3993,79;3976,78;3992,81;3981,42;3887,37;3991,85
48637;2974,84;2998,3;2991,7;2953,48;2992,58;2986,9
48640;2184,09;1941,79;2982,65;1429,94;2870,95;2570,89
48641;155557,28;137200,6;188987,03;148021,38;147705,58;157311,13
48643;20531,83;20533,46;20431,41;18693,44;20516,0;20539,72
48644;458,85;;;;;
48646;2996,79;2949,34;2993,87;2956,05;2971,43;2999,73
48652;8787,38;8980,74;8919,1;8867,84;8995,63;8972,03
48653;264314,91;220424,27;331282,01;329167,23;270944,86;222660,75
48658;700005,03;699999,55;699999,36;693745,56;699997,01;700136,75
48659;11998,83;11968,99;11936,61;11871,57;11994,99;11957,34
48673;2970,68;2992,89;2997,4;2978,83;2999,27;2925,59
48677;7045,51;8197,14;6745,93;6147,8;6246,58;7205,11
48678;2993,45;2982,83;2989,66;2995,57;2987,65;2962,64
48679;3999,5;3997,49;3997,92;3998,57;3999,99;3999,05
48680;1722,4;1586,3;1416,5;1170,0;1655,6;2129,8
48681;26119,83;26056,07;29923,13;28704,05;29839,33;21966,42
48682;5926,66;5988,41;5986,37;5998,27;5987,08;5999,11
48683;6084,9;6105,64;6123,35;6179,64;6217,94;6241,1
48687;6617,92;9266,69;8114,67;12143,57;13009,34;13705,59
48688;2248,92;2198,03;2248,52;2227,39;2239,23;2226,99
48693;571843,72;548402,74;607434,94;536865,3;535993,28;641037,12
48694;11284,8;8960,35;10101,59;13447,88;10752,58;11365,47
48695;8962,23;2023,08;12324,02;29774,03;23290,4;29999,63
48704;35784,04;67414,55;24145,84;30991,91;47679,23;22593,89
48713;1261783,97;1231060,93;1436566,11;1529397,33;1375725,27;1359438,26
48715;753,06;710,34;;658,17;916,74;1037,05
48716;6335,53;6357,88;6357,37;6356,0;6357,79;6357,8
48722;2984,96;2960,91;2970,68;2977,26;2949,89;2973,11
48723;2970,47;2996,3;2985,21;2973,59;2951,97;2489,28
48729;16796,0;13276,0;14436,0;14300,0;17280,0;16160,0
48731;2620,0;4219,5;1662,5;1594,5;3935,0;2418,0
48734;2984,77;2982,0;2984,75;2979,28;2991,54;2996,22
48739;13987,59;13996,31;13993,83;13994,84;13999,53;13993,06
48741;18385,87;22806,7;20843,57;29809,96;29153,28;23582,62
48753;19128,58;18191,55;11844,53;19663,51;15621,84;13896,53
48758;3260,14;3041,6;1816,77;2857,66;1291,56;2063,33
48761;13197,74;7458,43;3970,77;9039,85;15045,97;3501,7
48763;2134,37;2986,46;2999,04;2990,94;2915,42;2984,02
48770;2997,95;2997,91;2988,34;2994,25;2998,42;2994,74
48778;120281,04;114889,53;126893,39;127549,62;126030,08;110349,1
48779;6413,87;6441,28;6402,74;6432,36;6464,56;6428,84
48780;12716,83;12694,85;12714,64;12691,23;12673,48;12717,92
48781;27755,05;27043,82;27305,12;27975,97;27988,88;27971,92
48782;12128,24;13486,49;8971,36;10137,81;13336,27;9804,11
48785;4983,91;4987,18;4994,15;4997,71;4988,92;4997,67
