"REGIÃO
ASSISTENCIAL";MICRORREGIÃO;MUNICIPIO;RAMO_ATIVIDADE;NUM_CONTRATO;CPF_CNPJ;NOME;INICIO_VIGENCIA;FIM_VIGENCIA;PERIODO REFERENCIA
CENTRO;BETIM;BETIM;LABORATORIO;3592023;19133818000100;LABORATORIO SOUZA AGUIAR LTDA;05/05/2023;30/04/2028;jul/26
TRIANGULO DO SUL;UBERABA;UBERABA;CLINICA;72024;25854076000105;FISIOCLINICA AUD MED FISIOTERAPIA E REABILITACAO LTDA;01/01/2024;31/12/2028;jul/26
SUL;ALFENAS;CAMPOS GERAIS;HOSPITAL/FUNDACAO;3432023;19202654000126;HOSPITAL SAO VICENTE DE PAULO;01/05/2023;30/04/2028;jul/26
SUDESTE;JUIZ DE FORA;BICAS;LABORATORIO;8942024;20078218000176;WILMARA STEPHANI CABRAL;03/10/2024;31/03/2027;jul/26
CENTRO SUL;SAO JOAO DEL REI;SAO JOAO DEL REI;HOSPITAL/FUNDACAO;202696;24729097000136;SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI;09/03/2026;28/02/2031;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;HOSPITAL/FUNDACAO;3652025;60194990000844;INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA;01/06/2025;31/05/2030;jul/26
SUDESTE;MURIAE;MURIAE;LABORATORIO;6592023;26117267000157;MARCO ANTONIO DE SOUZA;01/09/2023;31/08/2028;jul/26
LESTE;CARATINGA;CARATINGA;LABORATORIO;7162021;21223417000193;LABORATORIO SAO JUDAS TADEU CARATINGA LTDA;31/12/2021;30/11/2026;jul/26
NORTE;JANAUBA;JANAUBA;LABORATORIO;11532023;65320491000101;BERENICE FERNANDES TORRES LTDA;20/12/2023;30/11/2028;jul/26
LESTE;RESPLENDOR;RESPLENDOR;HOSPITAL/FUNDACAO;2762023;60975737003339;SOCIEDADE BENEFICENTE SAO CAMILO;03/04/2023;31/03/2028;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;LABORATORIO;8542022;17998212000102;LABORATORIO SIPER LTDA;01/12/2022;30/11/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;HOSPITAL DIA;742023;25568759000104;CTC - CENTRO DE TRATAMENTO DE CALCULOS SAO LUCAS LTDA;01/02/2023;31/01/2028;jul/26
LESTE;CARATINGA;INHAPIM;LABORATORIO;892024;66379470000116;MAX WILLIAM RIBEIRO BARCELOS LABORATORIO LTDA;06/02/2024;31/05/2027;jul/26
NOROESTE;UNAI;UNAI;HOSPITAL/FUNDACAO;7252024;25840430000142;CASA DE SAUDE SANTA MONICA LTDA;01/09/2024;31/08/2029;jul/26
CENTRO;ABAETE;ABAETE;HOSPITAL/FUNDACAO;5672023;16505851000126;HOSPITAL SAO VICENTE DE PAULO DE ABAETE;01/08/2023;31/07/2028;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;CLINICA;982024;26175679000143;CLINICA DE FISIOTERAPIA E REABILITACAO FISIOCORP LTDA;07/02/2024;31/07/2027;jul/26
SUDESTE;JUIZ DE FORA;JUIZ DE FORA;HOSPITAL/FUNDACAO;10342023;21554423000123;INSTITUTO ONCOLOGICO SA;01/12/2023;30/11/2028;jul/26
SUL;PASSOS;PASSOS;HOSPITAL/FUNDACAO;3632025;23278898000160;IRMANDADE DA SANTA CASA DE MISERICORDIA DE PASSOS;01/06/2025;31/05/2030;jul/26
SUDESTE;CATAGUASES;CATAGUASES;CLINICA;1672022;21188727000114;CLINICA DE FISIOTERAPIA E REABILITACAO LTDA;11/02/2022;31/01/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;9312025;23851520000103;SERVICOS DE DIAGNOSTICO ENDOSCOPICO EM GASTROENTEROLOGIA LTDA;01/10/2025;30/09/2030;jul/26
SUDESTE;CATAGUASES;CATAGUASES;HOSPITAL/FUNDACAO;11332024;19529478000131;HOSPITAL DE CATAGUASES;30/12/2024;30/11/2029;jul/26
SUDESTE;UBA;UBA;HOSPITAL/FUNDACAO;8312025;25335803000128;ASSOCIACAO BENEFICENTE CATOLICA;01/09/2025;31/08/2030;jul/26
OESTE;FORMIGA;BAMBUI;HOSPITAL/FUNDACAO;1782022;17032293000191;HOSPITAL NOSSA SENHORA DO BRASIL;01/03/2022;28/02/2027;jul/26
TRIANGULO DO NORTE;PATROCINIO;PATROCINIO;HOSPITAL/FUNDACAO;202692;23406564000124;IRMANDADE NOSSA SENHORA DO PATROCINIO;05/03/2026;28/02/2031;jul/26
SUDESTE;SANTOS DUMONT;SANTOS DUMONT;HOSPITAL/FUNDACAO;2832022;24573438000127;HOSPITAL MISERICORDIA DE SANTOS DUMONT;06/05/2022;30/04/2027;jul/26
TRIANGULO DO SUL;UBERABA;UBERABA;CLINICA;7382023;24051070000137;CLINICA RADIOLOGICA DR. LAURO BAPTISTA MACHADO LTDA;01/09/2023;31/08/2028;jul/26
OESTE;DIVINOPOLIS;DIVINOPOLIS;HOSPITAL/FUNDACAO;8532025;20142303000156;HOSPITAL SANTA LUCIA LTDA;01/09/2025;31/08/2030;jul/26
LESTE;GOVERNADOR VALADARES;GOVERNADOR VALADARES;LABORATORIO;8362023;21299037000132;LABORATORIO LABORVAL LTDA;01/10/2023;30/09/2028;jul/26
SUDESTE;MURIAE;MURIAE;HOSPITAL/FUNDACAO;3682025;22780498000195;CASA DE CARIDADE DE MURIAE-HOSPITAL SAO PAULO;01/06/2025;31/05/2030;jul/26
